"행정구역별(1)",2024.03 p),2024.03 p),2024.03 p),2024.03 p),2024.03 p),2024.03 p),2024.03 p),2024.03 p),2024.03 p),2024.03 p),2024.04 p),2024.04 p),2024.04 p),2024.04 p),2024.04 p),2024.04 p),2024.04 p),2024.04 p),2024.04 p),2024.04 p),2024.05 p),2024.05 p),2024.05 p),2024.05 p),2024.05 p),2024.05 p),2024.05 p),2024.05 p),2024.05 p),2024.05 p)
"행정구역별(1)",출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당),출생아수(명),조출생률(천명당),사망자수(명),조사망률(천명당),자연증가건수(명),자연증가율(천명당),혼인건수(건),조혼인율(천명당),이혼건수(건),조이혼율(천명당)
"전국",19669,4.5,31160,7.2,-11491,-2.7,17198,4.0,7450,1.7,19049,4.6,28659,6.8,-9610,-2.3,18039,4.3,7701,1.8,19547,4.5,28546,6.6,-8999,-2.1,20923,4.8,7923,1.8
"서울특별시",3487,4.4,4614,5.8,-1126,-1.4,3179,4.0,992,1.3,3372,4.4,4315,5.7,-943,-1.2,3401,4.5,1074,1.4,3477,4.4,4216,5.4,-739,-0.9,4123,5.2,1063,1.3
"부산광역시",1093,3.9,2332,8.4,-1239,-4.5,872,3.1,430,1.6,1067,4.0,2137,8.0,-1071,-4.0,869,3.2,444,1.7,1108,4.0,2141,7.7,-1033,-3.7,1073,3.9,441,1.6
"대구광역시",843,4.2,1459,7.3,-616,-3.1,763,3.8,322,1.6,804,4.2,1323,6.8,-518,-2.7,813,4.2,357,1.8,789,3.9,1304,6.5,-516,-2.6,869,4.3,319,1.6
"인천광역시",1173,4.6,1634,6.5,-461,-1.8,1038,4.1,487,1.9,1179,4.8,1397,5.7,-219,-0.9,1055,4.3,432,1.8,1261,5.0,1495,5.9,-235,-0.9,1233,4.9,543,2.1
"광주광역시",513,4.3,784,6.6,-271,-2.3,432,3.6,159,1.3,467,4.0,686,5.9,-219,-1.9,448,3.9,233,2.0,469,3.9,722,6.0,-252,-2.1,512,4.3,177,1.5
"대전광역시",603,5.0,803,6.6,-200,-1.6,546,4.5,193,1.6,572,4.9,686,5.8,-115,-1.0,549,4.7,179,1.5,600,4.9,676,5.6,-76,-0.6,669,5.5,258,2.1
"울산광역시",435,4.7,511,5.5,-76,-0.8,371,4.0,172,1.8,423,4.7,506,5.6,-84,-0.9,407,4.5,147,1.6,433,4.7,488,5.3,-55,-0.6,487,5.2,156,1.7
"세종특별자치시",272,8.3,148,4.5,124,3.8,151,4.6,35,1.1,210,6.6,126,4.0,84,2.6,136,4.3,39,1.2,220,6.7,110,3.4,109,3.3,157,4.8,46,1.4
"경기도",5839,5.1,6620,5.8,-781,-0.7,4867,4.2,1928,1.7,5757,5.2,6155,5.5,-399,-0.4,5126,4.6,2096,1.9,5820,5.1,6037,5.2,-217,-0.2,5795,5.0,2199,1.9
"강원특별자치도",595,4.6,1226,9.5,-631,-4.9,472,3.7,272,2.1,530,4.3,1134,9.1,-604,-4.9,498,4.0,266,2.1,531,4.1,1181,9.2,-650,-5.1,564,4.4,230,1.8
"충청북도",614,4.6,1172,8.7,-558,-4.2,551,4.1,294,2.2,587,4.5,1132,8.7,-545,-4.2,589,4.5,284,2.2,597,4.4,1116,8.3,-519,-3.9,687,5.1,279,2.1
"충청남도",794,4.4,1660,9.2,-865,-4.8,673,3.7,380,2.1,785,4.5,1561,9.0,-776,-4.5,748,4.3,351,2.0,844,4.7,1553,8.6,-709,-3.9,833,4.6,384,2.1
"전북특별자치도",550,3.7,1512,10.2,-963,-6.5,470,3.2,267,1.8,504,3.5,1339,9.4,-835,-5.8,491,3.4,311,2.2,551,3.7,1338,9.1,-787,-5.3,696,4.7,354,2.4
"전라남도",668,4.4,1748,11.5,-1081,-7.1,605,4.0,268,1.8,656,4.5,1624,11.0,-968,-6.6,597,4.1,274,1.9,658,4.3,1661,10.9,-1003,-6.6,656,4.3,261,1.7
"경상북도",830,3.9,2141,10.0,-1312,-6.1,773,3.6,417,1.9,833,4.0,2028,9.7,-1195,-5.7,749,3.6,364,1.7,841,3.9,1957,9.1,-1116,-5.2,839,3.9,416,1.9
"경상남도",1112,4.1,2344,8.6,-1232,-4.5,865,3.2,567,2.1,1035,3.9,2115,8.0,-1080,-4.1,961,3.6,606,2.3,1061,3.9,2135,7.8,-1074,-3.9,1063,3.9,525,1.9
"제주특별자치도",251,4.4,453,8.0,-202,-3.6,234,4.1,146,2.6,270,4.9,395,7.2,-124,-2.3,236,4.3,138,2.5,288,5.1,416,7.3,-127,-2.3,255,4.5,127,2.2
